50.0	15828.0	15009.0
50.0	15074.0	15009.0
5500.0	457.0	510.0
900.0	1043.0	973.0
2500.0	540.0	469.0
900.0	1043.0	971.0
50.0	15072.0	15012.0
200.0	3930.0	3860.0
1600.0	681.0	610.0
500.0	1703.0	1633.0
900.0	1042.0	972.0
50.0	15074.0	15011.0
1600.0	681.0	611.0
3500.0	479.0	514.0
5500.0	460.0	388.0
5500.0	459.0	511.0
900.0	1044.0	974.0
900.0	1044.0	971.0
5500.0	459.0	510.0
5500.0	462.0	510.0
1600.0	683.0	613.0
3500.0	478.0	512.0
900.0	1042.0	971.0
500.0	1701.0	1632.0
500.0	1702.0	1633.0
900.0	1042.0	973.0
200.0	3931.0	3860.0
900.0	1043.0	972.0
50.0	15075.0	15009.0
